,CIK,Company Name,Form Type,Date Filed,Filename,Text
239901,355811,GENTEX CORP,8-K,2016-01-05,edgar/data/355811/0000355811-16-000057.txt,
239902,355811,GENTEX CORP,8-K,2016-01-28,edgar/data/355811/0000355811-16-000060.txt,
244307,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2016-01-26,edgar/data/51548/0000051548-16-000041.txt,
244308,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2016-02-09,edgar/data/51548/0000051548-16-000047.txt,
244309,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2016-03-30,edgar/data/51548/0000051548-16-000052.txt,
246647,65011,MEREDITH CORP,8-K,2016-01-27,edgar/data/65011/0000065011-16-000183.txt,
246648,65011,MEREDITH CORP,8-K,2016-01-27,edgar/data/65011/0000065011-16-000185.txt,
246649,65011,MEREDITH CORP,8-K,2016-01-27,edgar/data/65011/0000065011-16-000187.txt,
246650,65011,MEREDITH CORP,8-K,2016-02-23,edgar/data/65011/0000065011-16-000233.txt,
246651,65011,MEREDITH CORP,8-K,2016-03-02,edgar/data/65011/0000065011-16-000235.txt,
246652,65011,MEREDITH CORP,8-K,2016-03-07,edgar/data/65011/0000065011-16-000238.txt,
248432,703351,BRINKER INTERNATIONAL INC,8-K,2016-01-20,edgar/data/703351/0000703351-16-000060.txt,
248433,703351,BRINKER INTERNATIONAL INC,8-K,2016-02-02,edgar/data/703351/0000703351-16-000065.txt,
248434,703351,BRINKER INTERNATIONAL INC,8-K,2016-03-02,edgar/data/703351/0000703351-16-000069.txt,
249023,706688,AARON'S INC,8-K,2016-01-20,edgar/data/706688/0000706688-16-000206.txt,
249024,706688,AARON'S INC,8-K,2016-01-29,edgar/data/706688/0000706688-16-000208.txt,
249025,706688,AARON'S INC,8-K,2016-02-18,edgar/data/706688/0000706688-16-000234.txt,
252955,724606,PANERA BREAD CO,8-K,2016-02-03,edgar/data/724606/0000724606-16-000038.txt,
252956,724606,PANERA BREAD CO,8-K,2016-02-09,edgar/data/724606/0000724606-16-000040.txt,
252957,724606,PANERA BREAD CO,8-K,2016-03-01,edgar/data/724606/0000724606-16-000044.txt,
254284,730263,THOR INDUSTRIES INC,8-K,2016-01-14,edgar/data/730263/0001144204-16-075667.txt,
254285,730263,THOR INDUSTRIES INC,8-K,2016-02-05,edgar/data/730263/0001144204-16-079301.txt,
254286,730263,THOR INDUSTRIES INC,8-K,2016-03-07,edgar/data/730263/0001144204-16-086395.txt,
254287,730263,THOR INDUSTRIES INC,8-K,2016-03-17,edgar/data/730263/0001144204-16-088676.txt,
254288,730263,THOR INDUSTRIES INC,8-K,2016-03-18,edgar/data/730263/0001144204-16-088929.txt,
254289,730263,THOR INDUSTRIES INC,8-K,2016-03-21,edgar/data/730263/0001144204-16-089171.txt,
259999,768835,BIG LOTS INC,8-K,2016-01-11,edgar/data/768835/0000768835-16-000073.txt,
260000,768835,BIG LOTS INC,8-K,2016-03-07,edgar/data/768835/0000768835-16-000078.txt,
